Имя метаданных (поля)	Табличные части	Имя View (поля)
Справочник.Контрагенты		View_Clients
НаименованиеПолное		FullName
ИНН		INN
КПП		KPP
Справочник.ДоговорыКонтрагентов		View_Contracts
Справочник.Организации		View_Company
Справочник.ПодразделенияОрганизаций		View_CompanyDepartments
Справочник.БанковскиеСчета		View_BankAccounts
Справочник.СтатьиЗатрат		View_CostItems
Справочник.Валюты		View_Currency
РегистрСведений.КурсыВалют		View_CurrencyRates
Документ.РасходныйКассовыйОрдер		View_Cash_Loss
Комментарий		description
Налог		tax
	РасшифровкаПлатежа	View_Cash_Loss_Payment
	ДоговорКонтрагента	Comtracts
	СтавкаНДС	Rates
Документ.ПриходныйКассовыйОрдер		View_Cash_Profit
