Имя метаданных (поля)	Табличные части	Имя View (поля)
Справочник.Контрагенты		View_Counteragents
Справочник.ДоговорыКонтрагентов		View_Contracts
Справочник.Организации		View_Company
Справочник.ПодразделенияОрганизаций		View_CompanyDepartments
Справочник.БанковскиеСчета		View_BankAccounts
Справочник.СтатьиЗатрат		View_CostItems
Справочник.СотрудникиОрганизаций		View_Employees
Справочник.ДолжностиОрганизаций		View_EmployeesPositions
Справочник.Валюты		View_Currency
Справочник.ПрочиеДоходыИРасходы		View_CurrentBudgets
Справочник.Номенклатура		View_Nomenklatura
РегистрСведений.КурсыВалют		View_CurrencyRates
Справочник.Подразделения		View_Departments
Справочник.enmЦФО		View_CFO
Справочник.Проекты		View_Projects
Справочник.СтатьиДвиженияДенежныхСредств		View_KBK
РегистрСведений.ркСвязьПланФактБюджетПроектов		View_PLCF_Link
РегистрСведений.ркПланБюджетПроектов		View_PLCF_Plan
Документ.ПлатежноеПоручениеВходящее		View_CF_Profit
Документ.РасходныйКассовыйОрдер		View_Cash_Loss
Документ.ПоступлениеТоваровУслуг		View_PL_Loss
Документ.ПриходныйКассовыйОрдер		View_Cash_Profit
Документ.ПлатежныйОрдерСписаниеДенежныхСредств		View_Spisanie
Документ.ПлатежныйОрдерПоступлениеДенежныхСредств		View_Postuplenie
Документ.ПлатежноеПоручениеИсходящее		View_CF_Loss
Документ.РеализацияТоваровУслуг		View_PL_Profit
РегистрСведений.РегламентированныйПроизводственныйКалендарь		View_ProdCalendar
